step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.295164159204369,0,0.0,0.9374645847129716,0,0.0,0.921073046689767,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9503714586643222,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9389349219865706,0,0.0,0.9633398190269962,0,0.0,0.934614853166088,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9624267837150594,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.213105144922508,0,0.0,0.9675405714003837,0,0.0,0.969473526849043,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9770409081206638,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9805649328755842,0,0.0,0.9614451366824129,0,0.0,0.9209471769745444,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.949833936001024,0,0.0,1.0,0,0.0
15.0,2,3.0,0.075,11.96584677699754,1,1.0,0.784309294791788,0,0.0,0.9645156452858377,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9572820114236372,0,0.0,0.9592823032701199,0,0.0,1.0,0,0.0,1.0,1,2.0,0.7095024643414239,0,0.0,0.9332630568209764,0,0.0,0.9441243035927489,0,0.0,0.7629890259017368,0,0.0,1.0,0,0.0,0.9590484273801363,0,0.0,0.9529289220428768,0,0.0,0.8690445516775966,2,3.0
20.0,4,20.0,0.35714285714285715,11.67855778081913,2,10.0,0.7090582422792544,0,0.0,0.9529060887779971,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9568599087495894,0,0.0,0.9684152488407861,0,0.0,1.0,0,0.0,1.0,2,10.0,0.5104309989287001,0,0.0,0.932358787912979,0,0.0,0.9358950905000035,0,0.0,0.9659925769529126,0,0.0,1.0,0,0.0,0.9454173377773952,0,0.0,0.9639668872908644,0,0.0,0.9310144125782996,4,20.0
25.0,0,0.0,0.0,11.355647289963624,0,2.0,0.6501982045466561,0,0.0,0.908033296855129,0,0.0,1.0,0,0.0,0.9830779407762457,0,0.0,0.9737780681264124,0,0.0,0.9653067781014433,0,0.0,0.9893963497604711,0,0.0,1.0,0,3.0,0.5935814803438432,0,0.0,0.9673270431612615,0,2.0,0.8854028987046038,0,0.0,0.8917161839553068,0,2.0,0.49943828056145817,0,0.0,0.9411887215456547,0,0.0,0.9749282789543169,0,0.0,0.7299116559448697,0,9.0
30.0,7,18.0,0.225,10.830783786379385,3,8.0,0.6631597733381391,1,2.0,0.5989092988043255,0,0.0,1.0,0,0.0,0.9755372658644351,0,0.0,0.9426994887968521,0,0.0,0.9540356934936216,0,0.0,0.9548238874672527,0,0.0,1.0,0,0.0,0.8864936172663764,0,0.0,0.9553799462503744,0,4.0,0.7538751926277502,1,2.0,0.4930789335017263,0,4.0,0.8524628429632495,0,0.0,0.9545327482908288,0,0.0,0.9681008759559805,2,6.0,0.644200799162913,7,26.0
35.0,6,25.0,0.2604166666666667,9.79962175360245,1,8.0,0.5617756562978878,2,13.0,0.493785374927703,0,4.0,0.41283203268583385,0,0.0,0.9761724637817297,0,0.0,0.7335235487245126,0,0.0,0.684399479723546,0,0.0,0.9673964321914066,0,0.0,0.9454662676493454,0,0.0,0.9442193542919973,0,0.0,0.6559625232466529,3,15.0,0.6941059430906296,0,2.0,0.4948745694059061,0,7.0,0.8343181991113985,0,0.0,0.9659654624503636,0,0.0,0.7100506571660695,0,0.0,0.7066091361700334,6,49.0
40.0,16,50.0,0.44642857142857145,7.949717303568221,3,16.0,0.656169603923265,0,6.0,0.6737440876223626,0,4.0,0.9156418112459171,0,0.0,0.052896668470999865,2,6.0,0.5505978358015082,2,5.0,0.09852988151104047,0,0.0,0.9201080352338012,0,0.0,0.8636199722429696,0,0.0,0.9121562790885633,2,7.0,0.5924858969944838,2,14.0,0.45447421638315083,0,6.0,0.34481600316347666,1,8.0,0.5909539024570993,1,2.0,0.061308813640557465,2,8.0,0.5310493714209968,1,1.0,0.35841874589800576,16,83.0
45.0,10,33.0,0.275,7.739929981867748,1,10.0,0.5262664693210717,0,4.0,0.8207552480184404,0,6.0,0.8028472865660815,0,2.0,0.40231251800044693,0,2.0,0.5715250396366939,0,11.0,0.37942690863694056,0,4.0,0.46338189517026407,2,2.0,0.45015702244964195,1,3.0,0.4836919354618252,0,3.0,0.5923675273845354,6,31.0,0.3426428215084424,0,8.0,0.8533225030834238,0,7.0,0.5403123995412221,0,7.0,0.3100205814420924,0,3.0,0.5894328616458979,0,4.0,0.2211513254766861,10,107.0
50.0,10,37.0,0.27205882352941174,9.785751765810218,3,13.0,0.6838571569028487,0,0.0,0.6646517719333559,2,12.0,0.5008563973355616,0,4.0,0.8759973223023052,0,0.0,0.9204148370074291,0,7.0,0.8629413808213217,0,4.0,0.9189375843702696,2,12.0,0.48477016311688614,0,3.0,0.714729535031766,0,0.0,0.8325626890689581,0,32.0,0.6341373609366554,0,6.0,0.9043718625290105,2,6.0,0.3867967482424329,0,4.0,0.8481509860361417,0,4.0,0.7950235241793236,1,11.0,0.7761633599217389,10,118.0
