step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.890544694149867,0,0.0,0.7282413498332576,0,0.0
20.0,0,0.0,0.0,15.706011782791839,0,0.0,0.9617587320975881,0,0.0
25.0,0,0.0,0.0,15.987266439066738,0,0.0,0.9784623585742827,0,0.0
30.0,0,0.0,0.0,14.65351126431743,0,0.0,0.9760347278252048,0,0.0
35.0,0,0.0,0.0,13.86856636515195,0,0.0,0.9097810929342732,0,0.0
40.0,0,0.0,0.0,14.343328700770291,0,0.0,0.9474291682097412,0,0.0
45.0,0,0.0,0.0,14.464341856301113,0,0.0,0.9504162109211846,0,0.0
50.0,0,0.0,0.0,14.84653184083001,0,0.0,0.9745520153528985,0,0.0
55.0,0,0.0,0.0,14.124002404503383,0,0.0,0.9744364210264523,0,0.0
60.0,0,0.0,0.0,12.985394804426528,0,0.0,0.9124813611615525,0,0.0
65.0,1,3.0,0.25,12.468113299522365,1,3.0,0.8880805842278684,1,3.0
70.0,1,8.0,0.6666666666666666,12.546689326592203,1,8.0,0.8928410591890548,1,8.0
75.0,1,13.0,0.9285714285714286,12.335220192055646,1,13.0,0.8949880869339455,1,13.0
80.0,1,18.0,1.2857142857142858,12.26335883376062,1,18.0,0.8915411220741369,1,18.0
85.0,2,25.0,1.5625,11.291302640787123,2,25.0,0.821594905513354,2,25.0
90.0,2,35.0,2.1875,11.493140484511796,2,35.0,0.8139290573935083,2,35.0
95.0,2,45.0,2.25,10.759636340858773,2,45.0,0.7588730303526258,2,45.0
100.0,3,60.0,2.5,11.3307490600896,3,60.0,0.8077501050732843,3,60.0
105.0,3,75.0,2.7777777777777777,11.721859998831965,3,75.0,0.8349656585003621,3,75.0
110.0,3,90.0,3.103448275862069,11.615903310513696,3,90.0,0.8234406942422692,3,90.0
115.0,5,110.0,3.9285714285714284,10.74521768987071,5,110.0,0.7651294222213993,5,110.0
120.0,5,135.0,4.655172413793103,10.741982633698536,5,135.0,0.7819411069915734,5,135.0
125.0,7,163.0,4.9393939393939394,10.223932454617085,7,163.0,0.7145529681755135,7,163.0
130.0,8,200.0,5.882352941176471,10.247198202402032,8,200.0,0.7052370546171932,8,200.0
135.0,7,228.0,6.162162162162162,10.496223147994124,7,239.0,0.7308353260591702,7,239.0
140.0,7,263.0,6.575,10.656613340891147,7,263.0,0.7514260066690063,7,263.0
145.0,9,302.0,7.190476190476191,10.081099887930838,9,302.0,0.6935294539421302,9,302.0
150.0,10,351.0,7.8,9.778166797965362,10,353.0,0.6728672037252268,10,353.0
155.0,12,406.0,9.022222222222222,9.603659807019927,12,408.0,0.6304506532766568,12,408.0
160.0,15,474.0,9.115384615384615,8.896787745674095,15,476.0,0.5828797918642816,15,476.0
165.0,18,560.0,10.181818181818182,9.080229024834152,18,562.0,0.6007593839466473,18,562.0
170.0,19,651.0,11.224137931034482,9.038069298242101,19,653.0,0.6054136622840878,19,653.0
175.0,19,742.0,11.96774193548387,9.021481408700993,19,745.0,0.6105333730635192,19,745.0
180.0,18,781.0,11.833333333333334,8.888846227942151,18,843.0,0.6162267647446596,18,843.0
185.0,20,879.0,12.557142857142857,9.09274901580633,20,882.0,0.6434630643080189,20,882.0
190.0,20,979.0,12.881578947368421,8.873371223315543,20,985.0,0.6318223713516918,20,985.0
195.0,21,1083.0,13.37037037037037,9.103831437982327,21,1086.0,0.637836116663739,21,1086.0
200.0,24,1196.0,14.409638554216867,8.979743064294517,24,1199.0,0.6166211123445456,24,1199.0
205.0,26,1325.0,15.963855421686747,8.902772913663071,26,1328.0,0.607128906717764,26,1328.0
210.0,28,1460.0,17.38095238095238,8.851240486168985,28,1463.0,0.5979174761309586,28,1463.0
215.0,28,1600.0,17.77777777777778,9.080900497542459,28,1603.0,0.6059599017578406,28,1603.0
220.0,28,1635.0,16.515151515151516,9.121961624627787,28,1743.0,0.6110533982833923,28,1743.0
225.0,27,1615.0,15.679611650485437,9.010589608572753,27,1698.0,0.6060937005446438,27,1698.0
230.0,30,1745.0,16.15740740740741,8.641513832677205,30,1855.0,0.5764700474782635,30,1855.0
235.0,30,1885.0,16.391304347826086,8.790562603180588,30,1968.0,0.6132921320673755,30,1968.0
240.0,31,2040.0,17.0,9.248306328691138,31,2123.0,0.6177652094186638,31,2123.0
245.0,32,2198.0,18.016393442622952,9.412598951260545,32,2281.0,0.6018812564992863,32,2281.0
250.0,36,2367.0,18.637795275590552,9.388507681880508,36,2450.0,0.5788667572211499,36,2450.0
255.0,37,2549.0,20.070866141732285,9.406222927871795,37,2632.0,0.5710299828249934,37,2632.0
260.0,38,2737.0,20.893129770992367,9.498950367124662,38,2820.0,0.5857368934287087,38,2820.0
265.0,38,2927.0,21.84328358208955,9.467051978604086,38,3010.0,0.585676248230556,38,3010.0
270.0,40,3040.0,22.18978102189781,8.785634496317073,40,3206.0,0.5339264938390805,40,3206.0
275.0,47,3193.0,22.020689655172415,8.505753017532088,47,3299.0,0.5226456407165531,47,3299.0
280.0,47,3400.0,22.972972972972972,8.301751743487351,47,3543.0,0.4973776145607733,47,3543.0
285.0,48,3623.0,23.224358974358974,8.358306887728855,48,3729.0,0.5156037215598307,48,3729.0
