step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.890544694149867,0,0.0,0.7282413498332576,0,0.0
20.0,0,0.0,0.0,15.706011782791839,0,0.0,0.9617587320975881,0,0.0
25.0,0,0.0,0.0,15.987266439066738,0,0.0,0.9784623585742827,0,0.0
30.0,0,0.0,0.0,14.65351126431743,0,0.0,0.9760347278252048,0,0.0
35.0,0,0.0,0.0,13.86856636515195,0,0.0,0.9097810929342732,0,0.0
40.0,0,0.0,0.0,14.343328700770291,0,0.0,0.9474291682097412,0,0.0
45.0,0,0.0,0.0,14.464341856301113,0,0.0,0.9504162109211846,0,0.0
50.0,0,0.0,0.0,14.84653184083001,0,0.0,0.9745520153528985,0,0.0
55.0,0,0.0,0.0,14.124002404503383,0,0.0,0.9744364210264523,0,0.0
60.0,0,0.0,0.0,12.547667282181852,0,0.0,0.8851966334621784,0,0.0
65.0,2,6.0,0.5,11.139500518524159,2,6.0,0.8126315601899773,2,6.0
70.0,2,16.0,1.3333333333333333,11.236245660927496,2,16.0,0.819529212136397,2,16.0
75.0,2,26.0,1.8571428571428572,11.230611296110629,2,26.0,0.8315551485009982,2,26.0
80.0,2,36.0,2.5714285714285716,11.160115694938836,2,36.0,0.8284848606287113,2,36.0
85.0,3,48.0,3.0,10.281680594123358,3,48.0,0.7686280448726064,3,48.0
90.0,3,63.0,3.9375,9.535351831064943,3,63.0,0.7095916728243149,3,63.0
95.0,5,85.0,4.25,8.652009769329798,5,85.0,0.6436446096461311,5,85.0
100.0,6,115.0,4.791666666666667,9.59899697261107,6,115.0,0.7077845040489922,6,115.0
105.0,6,145.0,5.37037037037037,10.156978583341868,6,145.0,0.7402455580392966,6,145.0
110.0,6,175.0,6.0344827586206895,10.168699238212321,6,175.0,0.7385742777208708,6,175.0
115.0,7,209.0,7.206896551724138,9.611115608177172,7,209.0,0.6929011415686352,7,209.0
120.0,9,252.0,8.4,9.435995073346934,9,252.0,0.6734077617074492,9,252.0
125.0,10,298.0,8.764705882352942,8.902204203190532,10,298.0,0.6294986175339525,10,298.0
130.0,8,205.0,5.857142857142857,8.921512422142587,8,351.0,0.6303484904976709,8,351.0
135.0,6,207.0,5.447368421052632,9.698434818027582,6,221.0,0.7496283100463925,6,221.0
140.0,6,237.0,5.780487804878049,10.324204531202033,6,237.0,0.7791235298183699,6,237.0
145.0,8,271.0,6.3023255813953485,10.313439681141373,8,271.0,0.7150248156439959,8,271.0
150.0,9,315.0,6.702127659574468,10.297973673762026,9,317.0,0.6891606580835666,9,317.0
155.0,11,365.0,7.604166666666667,10.160873477107017,11,367.0,0.6456053005932711,11,367.0
160.0,14,428.0,7.781818181818182,9.447988795184072,14,430.0,0.598198014768718,14,430.0
165.0,17,508.0,8.758620689655173,9.5575387032491,17,510.0,0.6127465157420977,17,510.0
170.0,18,594.0,9.737704918032787,9.481340534049538,18,596.0,0.6160606431519482,18,596.0
175.0,18,680.0,10.461538461538462,9.452175892690677,18,683.0,0.6210831088265414,18,683.0
180.0,19,775.0,11.071428571428571,9.382178213342508,19,778.0,0.6272057529639431,19,778.0
185.0,21,878.0,11.864864864864865,9.48477128274795,21,881.0,0.6350253469895614,21,881.0
190.0,21,983.0,12.2875,9.472709168243389,21,986.0,0.6291784183796456,21,986.0
195.0,22,1092.0,13.156626506024097,9.359836152578492,22,1095.0,0.62530196114698,22,1095.0
200.0,25,1211.0,14.768292682926829,8.918957384985626,25,1214.0,0.6066236644857398,25,1214.0
205.0,27,1345.0,16.604938271604937,8.704208529075007,27,1348.0,0.5980854953408149,27,1348.0
210.0,29,1486.0,17.903614457831324,8.675109901970849,29,1489.0,0.5893015034338225,29,1489.0
215.0,29,1631.0,18.325842696629213,8.887656633548561,29,1634.0,0.5980837145571646,29,1634.0
220.0,29,1776.0,18.122448979591837,9.244532491637779,29,1779.0,0.6190979164316184,29,1779.0
225.0,30,1925.0,18.872549019607842,9.374120800590918,30,1928.0,0.6164933858597292,30,1928.0
230.0,32,2082.0,19.457943925233646,9.30149245892257,32,2085.0,0.6039368835848902,32,2085.0
235.0,34,2247.0,19.710526315789473,9.327226258812082,34,2250.0,0.6018055763673443,34,2250.0
240.0,34,2417.0,20.310924369747898,9.4815314730437,34,2420.0,0.6045097770471634,34,2420.0
245.0,35,2590.0,21.764705882352942,9.286670269685862,35,2593.0,0.5817998734028704,35,2593.0
250.0,38,2773.0,22.184,9.109443468973483,38,2776.0,0.5624944518184959,38,2776.0
255.0,40,2969.0,23.563492063492063,9.069804764271677,40,2972.0,0.5513682382365585,40,2972.0
260.0,41,3172.0,24.03030303030303,9.231256079855088,41,3175.0,0.5666487753054134,41,3175.0
265.0,41,3377.0,25.014814814814816,9.201857410133725,41,3380.0,0.5669675266317895,41,3380.0
270.0,46,3597.0,26.065217391304348,8.805778244197032,46,3600.0,0.5289245697212208,46,3600.0
275.0,50,3835.0,26.448275862068964,8.725511565571566,50,3838.0,0.5218015412399054,50,3838.0
280.0,51,4088.0,27.80952380952381,8.63415383403881,51,4091.0,0.507707460626829,51,4091.0
285.0,56,4359.0,28.867549668874172,8.476217643495618,56,4362.0,0.4898662580746195,56,4362.0
