step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.890544694149867,0,0.0,0.7282413498332576,0,0.0
20.0,0,0.0,0.0,15.706011782791839,0,0.0,0.9617587320975881,0,0.0
25.0,0,0.0,0.0,15.987266439066738,0,0.0,0.9784623585742827,0,0.0
30.0,0,0.0,0.0,14.65351126431743,0,0.0,0.9760347278252048,0,0.0
35.0,0,0.0,0.0,13.86856636515195,0,0.0,0.9097810929342732,0,0.0
40.0,0,0.0,0.0,14.343328700770291,0,0.0,0.9474291682097412,0,0.0
45.0,0,0.0,0.0,14.464341856301113,0,0.0,0.9504162109211846,0,0.0
50.0,0,0.0,0.0,14.84653184083001,0,0.0,0.9745520153528985,0,0.0
55.0,0,0.0,0.0,14.124002404503383,0,0.0,0.9744364210264523,0,0.0
60.0,0,0.0,0.0,13.215703275644193,0,0.0,0.9178069049580062,0,0.0
65.0,1,3.0,0.25,12.48306679626379,1,3.0,0.8856062199442243,1,3.0
70.0,1,8.0,0.6666666666666666,12.59446603775069,1,8.0,0.8945782654645664,1,8.0
75.0,1,13.0,0.9285714285714286,12.401840457010271,1,13.0,0.8952949420747124,1,13.0
80.0,1,18.0,1.2857142857142858,12.534277402264587,1,18.0,0.9050529388480366,1,18.0
85.0,1,23.0,1.4375,12.288068874128735,1,23.0,0.8781702287647424,1,23.0
90.0,1,28.0,1.75,11.660652373107766,1,28.0,0.8189362783576172,1,28.0
95.0,3,40.0,2.0,11.038446504365202,3,40.0,0.755074220792802,3,40.0
100.0,3,55.0,2.2916666666666665,11.583676548240538,3,55.0,0.8076213948036963,3,55.0
105.0,3,70.0,2.5925925925925926,11.946309593309717,3,70.0,0.8337098468403138,3,70.0
110.0,3,85.0,3.0357142857142856,11.908250966042191,3,85.0,0.8431461707221922,3,85.0
115.0,4,101.0,3.607142857142857,11.046688500931648,4,101.0,0.7811855959779039,4,101.0
120.0,6,129.0,4.448275862068965,10.85414748260891,6,129.0,0.7559815822714295,6,129.0
125.0,6,159.0,4.818181818181818,10.430443950605857,6,159.0,0.7296960810365346,6,159.0
130.0,7,194.0,5.878787878787879,10.537442402257387,7,194.0,0.7357948841649243,7,194.0
135.0,7,229.0,6.361111111111111,10.58475192936857,7,229.0,0.7379831386501482,7,229.0
140.0,8,268.0,6.871794871794871,10.38489084337774,8,268.0,0.7264204820055515,8,268.0
145.0,10,312.0,7.8,9.95801075646381,10,312.0,0.6983245148952184,10,312.0
150.0,10,362.0,8.227272727272727,9.978830279400755,10,362.0,0.6800750652199015,10,362.0
155.0,13,416.0,9.244444444444444,9.327052273197692,13,416.0,0.6103469477316404,13,416.0
160.0,14,486.0,9.346153846153847,9.416786082084332,14,486.0,0.6186292573835279,14,486.0
165.0,15,559.0,10.163636363636364,9.721940933072538,15,559.0,0.6434314592749752,15,559.0
170.0,15,634.0,10.931034482758621,9.821206456760427,15,634.0,0.654588490457993,15,634.0
175.0,16,713.0,11.5,9.721724172009887,16,713.0,0.6490917002448582,16,713.0
180.0,17,796.0,11.880597014925373,9.873511217976212,17,796.0,0.6670229475962359,17,796.0
185.0,17,881.0,12.585714285714285,9.833875070208459,17,881.0,0.6690151796779307,17,881.0
190.0,14,509.0,6.6103896103896105,9.58003715421599,14,965.0,0.6544697584037188,14,965.0
195.0,6,260.0,3.1707317073170733,10.016902233494411,6,448.0,0.7478552632989333,6,448.0
200.0,8,297.0,3.5783132530120483,10.401752098492903,8,312.0,0.7735615298542583,8,312.0
205.0,11,351.0,4.280487804878049,10.98695462383268,11,351.0,0.7872417935165614,11,351.0
210.0,12,409.0,4.869047619047619,11.342894191453436,12,409.0,0.7580522299223359,12,409.0
215.0,13,473.0,5.314606741573034,11.402589838173547,13,473.0,0.7522409342018678,13,473.0
220.0,13,538.0,5.604166666666667,11.412726361012474,13,538.0,0.7613518544596815,13,538.0
225.0,14,608.0,6.08,11.531291888132712,14,608.0,0.765038886225225,14,608.0
230.0,16,682.0,6.495238095238095,11.353925876667825,16,682.0,0.7404113980153672,16,682.0
235.0,18,765.0,6.954545454545454,11.184844420268446,18,765.0,0.7275950330291808,18,765.0
240.0,18,855.0,7.434782608695652,11.251755187655538,18,855.0,0.7280355731218104,18,855.0
245.0,19,947.0,8.025423728813559,11.28608824169414,19,947.0,0.7200314878514092,19,947.0
250.0,21,1046.0,8.504065040650406,10.906384272786607,21,1046.0,0.684704156798898,21,1046.0
255.0,23,1160.0,9.508196721311476,10.7885638294447,23,1160.0,0.6620431077246347,23,1160.0
260.0,25,1281.0,10.948717948717949,10.523829996036776,25,1281.0,0.6750955670429816,25,1281.0
265.0,25,1406.0,11.815126050420169,10.477779494430658,25,1406.0,0.6742867277707799,25,1406.0
270.0,29,1542.0,12.639344262295081,9.999726294759775,29,1542.0,0.6294275671887362,29,1542.0
275.0,31,1694.0,13.131782945736434,9.889971835793856,31,1694.0,0.6195090473252433,31,1694.0
280.0,35,1859.0,14.19083969465649,9.806571388453015,35,1859.0,0.6030481989877988,35,1859.0
285.0,39,2041.0,15.118518518518519,9.49641592917431,39,2041.0,0.568340058846319,39,2041.0
290.0,41,2244.0,16.14388489208633,9.455128994899729,41,2244.0,0.5736268402501217,41,2244.0
