step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.896878762752749,0,0.0,0.8169711419728782,0,0.0
20.0,0,0.0,0.0,14.227054768619658,0,0.0,0.976614842123841,0,0.0
25.0,0,0.0,0.0,14.38295440273878,0,0.0,0.9870141626456279,0,0.0
30.0,0,0.0,0.0,13.463625536202807,0,0.0,0.8909873965796254,0,0.0
35.0,0,0.0,0.0,13.92674683449118,0,0.0,0.9173884954943401,0,0.0
40.0,0,0.0,0.0,14.17088895715131,0,0.0,0.9812560008300878,0,0.0
45.0,0,0.0,0.0,13.83745358279216,0,0.0,0.9557524658918642,0,0.0
50.0,0,0.0,0.0,14.290203398862525,0,0.0,0.9878909137308046,0,0.0
55.0,0,0.0,0.0,13.663334620776457,0,0.0,0.9445796378779601,0,0.0
60.0,0,0.0,0.0,13.571214847555222,0,0.0,0.9484947075638704,0,0.0
65.0,0,0.0,0.0,12.67624022522275,0,0.0,0.8824243290939097,0,0.0
70.0,2,6.0,0.5,11.888613287505605,2,6.0,0.8245002032410568,2,6.0
75.0,2,16.0,1.1428571428571428,11.145150155446803,2,16.0,0.7946900538251678,2,16.0
80.0,3,29.0,2.0714285714285716,10.648532961128028,3,29.0,0.7647437775644371,3,29.0
85.0,3,44.0,2.75,10.243719759688329,3,44.0,0.7323001658137501,3,44.0
90.0,4,62.0,3.875,10.184730304359418,4,62.0,0.7283961545375334,4,62.0
95.0,4,82.0,4.1,9.974307102009199,4,82.0,0.7110294419514991,4,82.0
100.0,5,105.0,4.375,10.364365755384958,5,105.0,0.7354596441843925,5,105.0
105.0,6,131.0,4.851851851851852,10.066702133971274,6,131.0,0.703332516669416,6,131.0
110.0,4,89.0,3.0689655172413794,10.034562273394704,4,163.0,0.7107366865927258,4,163.0
115.0,5,105.0,3.6206896551724137,9.471330124262492,5,105.0,0.7335427774135944,5,105.0
120.0,8,135.0,4.5,9.355904483074864,8,135.0,0.6809605062579958,8,135.0
125.0,8,175.0,5.147058823529412,10.165062340572256,8,175.0,0.7018397716063955,8,175.0
130.0,7,204.0,5.828571428571428,10.417863971169867,7,214.0,0.7137915321817345,7,214.0
135.0,7,239.0,6.2894736842105265,10.386550278479172,7,239.0,0.7182796037530307,7,239.0
140.0,9,279.0,6.804878048780488,10.241505863760088,9,281.0,0.684413669447734,9,281.0
145.0,9,324.0,7.534883720930233,10.38292734524488,9,324.0,0.6996950375562817,9,324.0
150.0,10,370.0,7.872340425531915,9.888287635019624,10,374.0,0.6727182893291905,10,374.0
155.0,11,424.0,8.833333333333334,10.034869126906871,11,424.0,0.662912819333865,11,424.0
160.0,11,479.0,8.87037037037037,10.277859608487384,11,482.0,0.667656899140306,11,482.0
165.0,12,535.0,9.224137931034482,10.417325065722135,12,535.0,0.6862692571467247,12,535.0
170.0,12,595.0,9.754098360655737,10.467701957317079,12,595.0,0.6783988382296862,12,595.0
175.0,14,663.0,10.523809523809524,10.171509591839452,14,663.0,0.652604476869388,14,663.0
180.0,15,738.0,10.852941176470589,10.185515930366627,15,738.0,0.6550432913920201,15,738.0
185.0,16,817.0,11.507042253521126,10.038489737029087,16,817.0,0.6450431110378895,16,817.0
190.0,17,894.0,11.61038961038961,9.77829439675675,17,904.0,0.6329725086616653,17,904.0
195.0,18,981.0,12.11111111111111,10.160118608030954,18,981.0,0.6971356435025027,18,981.0
200.0,20,1075.0,12.797619047619047,10.065457924487461,20,1075.0,0.6786098607557163,20,1075.0
205.0,21,1178.0,14.023809523809524,9.912425959274392,21,1178.0,0.6630231025601921,21,1178.0
210.0,20,1264.0,15.047619047619047,9.438137998204851,20,1286.0,0.6365791776822274,20,1286.0
215.0,25,1379.0,15.670454545454545,9.00000897640089,25,1379.0,0.6207210780007674,25,1379.0
220.0,28,1513.0,15.926315789473684,8.803231512657746,28,1513.0,0.6059798355919498,28,1513.0
225.0,34,1671.0,17.051020408163264,8.050578877612711,34,1671.0,0.5443071882430977,34,1671.0
230.0,38,1849.0,18.127450980392158,7.697261968088647,38,1863.0,0.5209326948573816,38,1863.0
235.0,42,2046.0,18.944444444444443,7.590980145511325,42,2046.0,0.525897151124438,42,2046.0
240.0,42,2244.0,19.858407079646017,7.56773715856135,42,2262.0,0.512896245929216,42,2262.0
245.0,47,2474.0,21.32758620689655,7.494759411711346,47,2474.0,0.5083829581203382,47,2474.0
250.0,48,2713.0,22.608333333333334,7.543761515461157,48,2715.0,0.5130397819163207,48,2715.0
255.0,49,2955.0,24.221311475409838,7.53776438270301,49,2955.0,0.5045998415829178,49,2955.0
260.0,52,3210.0,24.88372093023256,7.725393677697455,52,3210.0,0.5117276945640957,52,3210.0
265.0,57,3486.0,26.210526315789473,7.518923250469944,57,3486.0,0.491411208505088,57,3486.0
270.0,58,3774.0,27.347826086956523,7.236474076379172,58,3777.0,0.46541665529787746,58,3777.0
275.0,63,4079.0,28.131034482758622,7.3447297187509335,63,4080.0,0.4764146429287825,63,4080.0
280.0,66,4397.0,29.91156462585034,6.768705305912434,66,4405.0,0.4271099527244689,66,4405.0
285.0,78,4765.0,30.741935483870968,6.291076606512048,78,4766.0,0.38954865206112355,78,4766.0
