step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.896878762752749,0,0.0,0.8169711419728782,0,0.0
20.0,0,0.0,0.0,14.227054768619658,0,0.0,0.976614842123841,0,0.0
25.0,0,0.0,0.0,14.38295440273878,0,0.0,0.9870141626456279,0,0.0
30.0,0,0.0,0.0,13.463625536202807,0,0.0,0.8909873965796254,0,0.0
35.0,0,0.0,0.0,13.92674683449118,0,0.0,0.9173884954943401,0,0.0
40.0,0,0.0,0.0,14.17088895715131,0,0.0,0.9812560008300878,0,0.0
45.0,0,0.0,0.0,13.83745358279216,0,0.0,0.9557524658918642,0,0.0
50.0,0,0.0,0.0,14.290203398862525,0,0.0,0.9878909137308046,0,0.0
55.0,0,0.0,0.0,13.663334620776457,0,0.0,0.9445796378779601,0,0.0
60.0,0,0.0,0.0,13.571214847555222,0,0.0,0.9484947075638704,0,0.0
65.0,0,0.0,0.0,12.67624022522275,0,0.0,0.8824243290939097,0,0.0
70.0,2,6.0,0.5,11.888613287505605,2,6.0,0.8245002032410568,2,6.0
75.0,2,16.0,1.1428571428571428,11.145150155446803,2,16.0,0.7946900538251678,2,16.0
80.0,3,29.0,2.0714285714285716,10.648532961128028,3,29.0,0.7647437775644371,3,29.0
85.0,3,44.0,2.75,10.243719759688329,3,44.0,0.7323001658137501,3,44.0
90.0,4,62.0,3.875,10.184730304359418,4,62.0,0.7283961545375334,4,62.0
95.0,4,82.0,4.1,9.974307102009199,4,82.0,0.7110294419514991,4,82.0
100.0,5,105.0,4.375,10.364365755384958,5,105.0,0.7354596441843925,5,105.0
105.0,6,131.0,4.851851851851852,10.066702133971274,6,131.0,0.703332516669416,6,131.0
110.0,7,166.0,5.724137931034483,9.96331947340826,7,166.0,0.7058525661833758,7,166.0
115.0,10,210.0,7.241379310344827,8.844223525506594,10,210.0,0.6284662704448785,10,210.0
120.0,9,157.0,5.233333333333333,8.368004313141634,9,261.0,0.5937072273555357,9,261.0
125.0,7,169.0,4.970588235294118,9.398039219115802,7,178.0,0.7111924360041023,7,178.0
130.0,8,205.0,5.857142857142857,9.557260500236197,8,214.0,0.6884046189775634,8,214.0
135.0,9,250.0,6.578947368421052,9.922249323536812,9,259.0,0.6827469241399703,9,259.0
140.0,9,279.0,6.804878048780488,10.100533182594686,9,307.0,0.668841235822968,9,307.0
145.0,9,324.0,7.534883720930233,10.274313787954965,9,324.0,0.7186113445029934,9,324.0
150.0,10,370.0,7.872340425531915,9.705463819924434,10,370.0,0.6670202349592066,10,370.0
155.0,14,435.0,9.0625,8.849242555597492,14,435.0,0.5806189614550092,14,435.0
160.0,13,487.0,9.018518518518519,9.084638870432995,13,514.0,0.5959759981115124,13,514.0
165.0,12,535.0,9.224137931034482,9.604992001410302,12,535.0,0.6854085657020729,12,535.0
170.0,12,595.0,9.754098360655737,9.963871930629724,12,595.0,0.678646088761107,12,595.0
175.0,15,666.0,10.090909090909092,9.927442518091436,15,666.0,0.6328143815493414,15,666.0
180.0,18,748.0,10.38888888888889,9.880552861875053,18,748.0,0.6201243727849564,18,748.0
185.0,15,811.0,11.422535211267606,9.47926409445006,15,839.0,0.6140974227077589,15,839.0
190.0,17,893.0,11.597402597402597,9.548857598397964,17,893.0,0.6593890162663838,17,893.0
195.0,18,980.0,11.80722891566265,10.097819229917135,18,980.0,0.6989385994122554,18,980.0
200.0,19,1071.0,12.6,10.057392289241642,19,1071.0,0.6801481364089524,19,1071.0
205.0,19,1163.0,13.845238095238095,10.025578192687016,19,1172.0,0.6672023552625893,19,1172.0
210.0,20,1263.0,14.686046511627907,9.82432152189555,20,1263.0,0.6575851358207618,20,1263.0
215.0,25,1377.0,14.967391304347826,9.460725838332687,25,1377.0,0.6264401253171675,25,1377.0
220.0,27,1509.0,15.242424242424242,9.095485062492765,27,1509.0,0.6068886674858189,27,1509.0
225.0,33,1666.0,16.495049504950494,8.114879220408653,33,1669.0,0.5341398563087197,33,1669.0
230.0,39,1855.0,17.83653846153846,7.908576950491895,39,1855.0,0.5308703368975749,39,1855.0
235.0,40,2042.0,18.563636363636363,7.743050897013733,40,2053.0,0.5245350372983305,40,2053.0
240.0,43,2243.0,19.336206896551722,7.664915873000452,43,2243.0,0.5161863680796187,43,2243.0
245.0,47,2470.0,20.93220338983051,7.547974733355836,47,2477.0,0.5041526003037581,47,2477.0
250.0,49,2715.0,22.25409836065574,7.737240857772764,49,2715.0,0.5140296021284331,49,2715.0
255.0,50,2954.0,24.016260162601625,7.4706333942977645,50,2963.0,0.4932782901788457,50,2963.0
260.0,55,3218.0,24.94573643410853,7.398655754188468,55,3218.0,0.4936967853399732,55,3218.0
265.0,56,3481.0,26.172932330827066,7.3576323870956415,56,3499.0,0.48689263396468013,56,3499.0
270.0,58,3771.0,27.727941176470587,7.18824253233784,58,3772.0,0.47255493329076154,58,3772.0
275.0,62,3914.0,27.37062937062937,7.171227603103268,62,4076.0,0.4695810975424881,62,4076.0
280.0,64,3917.0,26.828767123287673,6.653013759002289,64,4094.0,0.42981897210776887,64,4094.0
285.0,72,4266.0,27.7012987012987,6.289984530827564,72,4337.0,0.39704477567517854,72,4337.0
