step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.896878762752749,0,0.0,0.8169711419728782,0,0.0
20.0,0,0.0,0.0,14.227054768619658,0,0.0,0.976614842123841,0,0.0
25.0,0,0.0,0.0,14.38295440273878,0,0.0,0.9870141626456279,0,0.0
30.0,0,0.0,0.0,13.463625536202807,0,0.0,0.8909873965796254,0,0.0
35.0,0,0.0,0.0,13.92674683449118,0,0.0,0.9173884954943401,0,0.0
40.0,0,0.0,0.0,14.17088895715131,0,0.0,0.9812560008300878,0,0.0
45.0,0,0.0,0.0,13.83745358279216,0,0.0,0.9557524658918642,0,0.0
50.0,0,0.0,0.0,14.290203398862525,0,0.0,0.9878909137308046,0,0.0
55.0,0,0.0,0.0,13.663334620776457,0,0.0,0.9445796378779601,0,0.0
60.0,0,0.0,0.0,13.571214847555222,0,0.0,0.9484947075638704,0,0.0
65.0,0,0.0,0.0,12.67624022522275,0,0.0,0.8824243290939097,0,0.0
70.0,1,5.0,0.4166666666666667,13.004459132036986,1,5.0,0.8977798468848824,1,5.0
75.0,1,10.0,0.7142857142857143,12.124188263199326,1,10.0,0.8549714443130216,1,10.0
80.0,2,18.0,1.2857142857142858,11.609393085496235,2,18.0,0.821960516798286,2,18.0
85.0,2,28.0,1.75,11.409004061731512,2,28.0,0.8085922271142373,2,28.0
90.0,2,38.0,2.375,11.909613437225914,2,38.0,0.8326682286567689,2,38.0
95.0,2,48.0,2.4,11.430401194530706,2,48.0,0.7920474205651408,2,48.0
100.0,3,61.0,2.5416666666666665,11.541168790256597,3,61.0,0.8025600759786382,3,61.0
105.0,3,69.0,2.5555555555555554,11.125877345602014,3,76.0,0.7601099924731568,3,76.0
110.0,3,84.0,2.896551724137931,11.31629393910049,3,84.0,0.8269503117666435,3,84.0
115.0,6,106.0,3.6551724137931036,10.353799250407587,6,106.0,0.728425614059729,6,106.0
120.0,8,140.0,4.666666666666667,10.031779908754114,8,140.0,0.6786031165259863,8,140.0
125.0,7,169.0,5.121212121212121,10.415968203040887,7,179.0,0.7042748010159835,7,179.0
130.0,7,204.0,6.0,10.737177610590452,7,204.0,0.7367820073609331,7,204.0
135.0,7,239.0,6.45945945945946,10.729021482397632,7,239.0,0.7284693849638185,7,239.0
140.0,9,279.0,7.153846153846154,10.477608785354732,9,279.0,0.7036448111888651,9,279.0
145.0,9,324.0,7.902439024390244,10.48753350823166,9,324.0,0.716546039295777,9,324.0
150.0,10,370.0,8.222222222222221,10.316553591876403,10,370.0,0.6944048628781937,10,370.0
155.0,11,424.0,9.217391304347826,10.219627953764531,11,424.0,0.660550598247347,11,424.0
160.0,12,483.0,9.288461538461538,10.254445537500642,12,483.0,0.6670528139813453,12,483.0
165.0,12,535.0,9.553571428571429,10.269841316366284,12,543.0,0.6699069508006533,12,543.0
170.0,12,595.0,10.43859649122807,10.120382935479112,12,595.0,0.6785139066132527,12,595.0
175.0,14,663.0,10.693548387096774,9.636789881123317,14,664.0,0.6299162285420349,14,664.0
180.0,15,738.0,10.852941176470589,9.913760483776933,15,738.0,0.6629070160481648,15,738.0
185.0,15,813.0,11.450704225352112,10.01834391315095,15,813.0,0.6591546671983636,15,813.0
190.0,18,898.0,11.973333333333333,9.769956194758633,18,898.0,0.6429005783414147,18,898.0
195.0,18,982.0,12.123456790123457,10.074807236877401,18,991.0,0.6776692764160244,18,991.0
200.0,18,1072.0,13.073170731707316,10.032351457802001,18,1072.0,0.6983619504245216,18,1072.0
205.0,13,599.0,7.304878048780488,10.089789067901693,13,1159.0,0.6895222270553456,13,1159.0
210.0,3,208.0,2.5060240963855422,10.411518481270626,3,380.0,0.8051616691093731,3,380.0
215.0,5,229.0,2.602272727272727,10.91839642938851,5,266.0,0.8316803221391172,5,266.0
220.0,5,254.0,2.6736842105263157,11.80728257717328,5,254.0,0.8688567166453921,5,254.0
225.0,7,271.0,2.7373737373737375,11.735341774748848,7,287.0,0.7849291817249161,7,287.0
230.0,11,312.0,3.0,11.373328650353791,11,312.0,0.7532117614401348,11,312.0
235.0,15,378.0,3.5,11.135874078242944,15,378.0,0.7341683042575338,15,378.0
240.0,14,411.0,3.6371681415929205,11.002235593105812,14,461.0,0.7098921253846427,14,461.0
245.0,8,397.0,3.4224137931034484,11.157030957616671,8,428.0,0.7719380960399522,8,428.0
250.0,12,447.0,3.6942148760330578,11.244332466739388,12,479.0,0.7514620574339755,12,479.0
255.0,15,517.0,4.203252032520325,11.523847611520438,15,548.0,0.7605095298457152,15,548.0
260.0,16,596.0,4.65625,11.391152645238073,16,627.0,0.7379307336165466,16,627.0
265.0,17,639.0,4.953488372093023,11.045784784601699,17,692.0,0.7176410773932752,17,692.0
270.0,10,603.0,4.785714285714286,10.673249152622967,10,642.0,0.7267491008010112,10,642.0
275.0,14,649.0,5.0703125,10.425472129532167,14,705.0,0.6938908166466925,14,705.0
280.0,22,745.0,6.008064516129032,10.372479233495536,22,785.0,0.687954364963322,22,785.0
285.0,27,865.0,6.705426356589148,10.108949975987505,27,904.0,0.6377192008797228,27,904.0
290.0,25,931.0,6.896296296296296,9.983871793199675,25,1043.0,0.6252230218436581,25,1043.0
