step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.896878762752749,0,0.0,0.8169711419728782,0,0.0
20.0,0,0.0,0.0,14.227054768619658,0,0.0,0.976614842123841,0,0.0
25.0,0,0.0,0.0,14.38295440273878,0,0.0,0.9870141626456279,0,0.0
30.0,0,0.0,0.0,13.463625536202807,0,0.0,0.8909873965796254,0,0.0
35.0,0,0.0,0.0,13.92674683449118,0,0.0,0.9173884954943401,0,0.0
40.0,0,0.0,0.0,14.17088895715131,0,0.0,0.9812560008300878,0,0.0
45.0,0,0.0,0.0,13.83745358279216,0,0.0,0.9557524658918642,0,0.0
50.0,0,0.0,0.0,14.290203398862525,0,0.0,0.9878909137308046,0,0.0
55.0,0,0.0,0.0,13.663334620776457,0,0.0,0.9445796378779601,0,0.0
60.0,0,0.0,0.0,13.571214847555222,0,0.0,0.9484947075638704,0,0.0
65.0,0,0.0,0.0,12.67624022522275,0,0.0,0.8824243290939097,0,0.0
70.0,1,5.0,0.4166666666666667,12.181369047699286,1,5.0,0.8990531300102098,1,5.0
75.0,1,10.0,0.7142857142857143,11.634407101334176,1,10.0,0.8546330372700873,1,10.0
80.0,2,18.0,1.2857142857142858,11.406511060941769,2,18.0,0.8228972325995569,2,18.0
85.0,2,28.0,1.75,11.084611130179303,2,28.0,0.7799346025294788,2,28.0
90.0,3,40.0,2.5,11.056953171174221,3,40.0,0.7771570134129843,3,40.0
95.0,3,55.0,2.75,10.696231616462907,3,55.0,0.7507233226048178,3,55.0
100.0,4,73.0,3.0416666666666665,10.935080905241627,4,73.0,0.7674123661316823,4,73.0
105.0,5,94.0,3.4814814814814814,10.562685588867541,5,94.0,0.7297300010341885,5,94.0
110.0,6,124.0,4.275862068965517,10.398694070766224,6,124.0,0.7282489769678646,6,124.0
115.0,8,161.0,5.551724137931035,9.688747411801454,8,161.0,0.6738766572857607,8,161.0
120.0,6,89.0,2.966666666666667,9.326715885251563,6,201.0,0.6395623249597971,6,201.0
125.0,4,98.0,2.8823529411764706,10.315649658449857,4,110.0,0.7671540516185092,4,110.0
130.0,4,50.0,1.4285714285714286,10.548106373791265,4,135.0,0.7655657658242949,4,135.0
135.0,2,17.0,0.4594594594594595,11.219775934942227,2,48.0,0.8348667747503163,2,48.0
140.0,4,34.0,0.85,11.385545406025951,4,46.0,0.7985552901344858,4,46.0
145.0,5,59.0,1.4047619047619047,11.756881382184591,5,71.0,0.806410656476054,5,71.0
150.0,6,85.0,1.8478260869565217,11.628334651186023,6,97.0,0.7661189637542113,6,97.0
155.0,7,120.0,2.5531914893617023,11.642483943382237,7,132.0,0.7470056296967866,7,132.0
160.0,8,159.0,3.0,11.442810495824892,8,171.0,0.7410444378237999,8,171.0
165.0,8,199.0,3.491228070175439,11.366821026316478,8,211.0,0.7353886505263799,8,211.0
170.0,9,215.0,3.6440677966101696,11.216410045451799,9,256.0,0.7264527749566351,9,256.0
175.0,11,259.0,4.046875,10.68188561154751,11,271.0,0.6945757767916304,11,271.0
180.0,9,158.0,2.289855072463768,10.240086684351473,9,268.0,0.6711495786911418,9,268.0
185.0,7,120.0,1.7142857142857142,10.62328577451046,7,140.0,0.756175011417477,7,140.0
190.0,7,107.0,1.4078947368421053,10.908354736271258,7,183.0,0.7516047291448917,7,183.0
195.0,6,123.0,1.5974025974025974,11.412649409251271,6,143.0,0.8553436277370815,6,143.0
200.0,5,47.0,0.6103896103896104,11.557117070794261,5,172.0,0.825959179921259,5,172.0
205.0,8,82.0,1.0512820512820513,11.783407712431373,8,102.0,0.8341738207304391,8,102.0
210.0,4,36.0,0.45569620253164556,11.75099946697873,4,99.0,0.8230696934477438,4,99.0
215.0,3,36.0,0.43373493975903615,11.84894299274093,3,36.0,0.8636205510450996,3,36.0
220.0,2,7.0,0.07692307692307693,11.823027923699698,2,55.0,0.8342917832886143,2,55.0
225.0,7,34.0,0.35789473684210527,11.327938372048823,7,34.0,0.7859990423141875,7,34.0
230.0,9,49.0,0.48514851485148514,11.167344138630842,9,87.0,0.7383860647246987,9,87.0
235.0,4,42.0,0.3925233644859813,11.573770055269213,4,54.0,0.8307702738734603,4,54.0
240.0,9,73.0,0.6636363636363637,11.385808300794578,9,86.0,0.7846869395888221,9,86.0
245.0,15,132.0,1.2110091743119267,11.044589161701596,15,144.0,0.7293745651998348,15,144.0
250.0,18,216.0,1.9285714285714286,11.1753329775264,18,228.0,0.7244561546996359,18,228.0
255.0,18,306.0,2.732142857142857,11.082170755435941,18,318.0,0.7255723603231446,18,318.0
260.0,21,403.0,3.4152542372881354,10.894915912839243,21,415.0,0.7136847158696236,21,415.0
265.0,24,515.0,4.256198347107438,10.562216607452573,24,527.0,0.6802616422588985,24,527.0
270.0,27,644.0,5.235772357723577,10.272795157956702,27,656.0,0.6497564298644934,27,656.0
275.0,31,703.0,5.624,9.715882212766882,31,806.0,0.6210798968198862,31,806.0
280.0,33,772.0,6.225806451612903,9.098413899413622,33,816.0,0.5933339554741317,33,816.0
285.0,38,932.0,7.1692307692307695,8.388544405295615,38,1002.0,0.540656982118033,38,1002.0
290.0,42,1115.0,8.32089552238806,8.338913374223313,42,1159.0,0.5580700280026425,42,1159.0
