step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.896878762752749,0,0.0,0.8169711419728782,0,0.0
20.0,0,0.0,0.0,14.227054768619658,0,0.0,0.976614842123841,0,0.0
25.0,0,0.0,0.0,14.38295440273878,0,0.0,0.9870141626456279,0,0.0
30.0,0,0.0,0.0,13.463625536202807,0,0.0,0.8909873965796254,0,0.0
35.0,0,0.0,0.0,13.92674683449118,0,0.0,0.9173884954943401,0,0.0
40.0,0,0.0,0.0,14.17088895715131,0,0.0,0.9812560008300878,0,0.0
45.0,0,0.0,0.0,13.83745358279216,0,0.0,0.9557524658918642,0,0.0
50.0,0,0.0,0.0,14.290203398862525,0,0.0,0.9878909137308046,0,0.0
55.0,0,0.0,0.0,13.663334620776457,0,0.0,0.9445796378779601,0,0.0
60.0,0,0.0,0.0,13.571214847555222,0,0.0,0.9484947075638704,0,0.0
65.0,0,0.0,0.0,12.67624022522275,0,0.0,0.8824243290939097,0,0.0
70.0,2,6.0,0.5,11.888613287505605,2,6.0,0.8245002032410568,2,6.0
75.0,1,10.0,0.7142857142857143,11.204848807322604,1,15.0,0.7989492542000859,1,15.0
80.0,2,18.0,1.2857142857142858,10.976242433174493,2,18.0,0.8227022306411723,2,18.0
85.0,2,28.0,1.75,10.723109205680501,2,28.0,0.7793425255000753,2,28.0
90.0,3,42.0,2.625,10.937995476266472,3,42.0,0.7771570134129843,3,42.0
95.0,2,48.0,2.4,10.99133925191404,2,56.0,0.7699504530945447,2,56.0
100.0,2,58.0,2.4166666666666665,11.697615384247099,2,58.0,0.8388652765810356,2,58.0
105.0,3,69.0,2.5555555555555554,11.41987681949423,3,69.0,0.7918418603918304,3,69.0
110.0,4,89.0,3.0689655172413794,11.412754122814608,4,89.0,0.7938887271676346,4,89.0
115.0,6,108.0,3.7241379310344827,10.312226985907348,6,117.0,0.7011351852166073,6,117.0
120.0,7,134.0,4.466666666666667,9.968668206570609,7,134.0,0.7048687338291676,7,134.0
125.0,7,169.0,4.970588235294118,10.552937351995354,7,169.0,0.7278969871875958,7,169.0
130.0,7,204.0,5.828571428571428,10.60485531278684,7,204.0,0.7146784929871086,7,204.0
135.0,7,239.0,6.2894736842105265,10.50311211644385,7,243.0,0.6984818128453891,7,243.0
140.0,10,282.0,7.05,10.134409894160502,10,282.0,0.6830311343647825,10,282.0
145.0,10,325.0,7.738095238095238,10.093758157476202,10,332.0,0.6803967124010266,10,332.0
150.0,11,376.0,8.355555555555556,9.318681225072119,11,376.0,0.6458722134735331,11,376.0
155.0,12,425.0,9.23913043478261,8.484637299007941,12,442.0,0.5748411954083104,12,442.0
160.0,12,483.0,9.470588235294118,8.950750065699419,12,483.0,0.6659995822161815,12,483.0
165.0,12,535.0,9.727272727272727,9.460017769297618,12,543.0,0.6691270824019154,12,543.0
170.0,12,595.0,10.258620689655173,9.89700033529368,12,595.0,0.6775848268306202,12,595.0
175.0,14,663.0,10.693548387096774,9.62332758238177,14,665.0,0.6304852457154603,14,665.0
180.0,15,737.0,10.838235294117647,9.909289047827368,15,737.0,0.6593249738500184,15,737.0
185.0,15,812.0,11.6,10.020444843468578,15,812.0,0.6625387535771036,15,812.0
190.0,18,896.0,11.789473684210526,9.754263838082192,18,896.0,0.634787792371915,18,896.0
195.0,18,980.0,11.951219512195122,10.091630761874919,18,990.0,0.6716734217029197,18,990.0
200.0,18,1070.0,12.588235294117647,10.212458759174208,18,1070.0,0.6956552442296144,18,1070.0
205.0,20,1164.0,13.694117647058823,10.14682745305586,20,1164.0,0.6807210318294694,20,1164.0
210.0,20,1264.0,14.363636363636363,9.912937948053775,20,1264.0,0.6493277660471688,20,1264.0
215.0,25,1376.0,14.956521739130435,9.381770469275196,25,1380.0,0.6169923393590393,25,1380.0
220.0,29,1511.0,15.577319587628866,9.047548451492611,29,1511.0,0.6144814215500486,29,1511.0
225.0,27,978.0,9.878787878787879,8.285771192531877,27,1658.0,0.5542358836269199,27,1658.0
230.0,8,302.0,2.9038461538461537,8.66866473947611,8,690.0,0.6280096925546446,8,690.0
235.0,8,334.0,3.121495327102804,9.41739886466007,8,495.0,0.6959858306807339,8,495.0
240.0,9,376.0,3.327433628318584,10.628838307440539,9,393.0,0.7810452495892907,9,393.0
245.0,15,410.0,3.5344827586206895,10.90560966542649,15,439.0,0.7188570528330382,15,439.0
250.0,17,493.0,4.074380165289257,11.220309397801547,17,498.0,0.7302128054785444,17,498.0
255.0,18,581.0,4.723577235772358,11.281653787199325,18,586.0,0.7348805476291834,18,586.0
260.0,21,680.0,5.3125,10.990099295177238,21,685.0,0.7064794405000713,21,685.0
265.0,23,792.0,6.0458015267175576,10.8309837148306,23,797.0,0.6821298480804626,23,797.0
270.0,27,921.0,6.772058823529412,10.543952059466635,27,926.0,0.6426023570753798,27,926.0
275.0,27,883.0,6.174825174825175,10.252720512729962,27,1035.0,0.630167198964256,27,1035.0
280.0,14,704.0,4.789115646258503,10.177128901301575,14,854.0,0.6599327987162424,14,854.0
285.0,22,779.0,5.125,9.732058017674621,22,952.0,0.6042404081380361,22,952.0
290.0,33,908.0,5.934640522875817,9.523419423572491,33,1057.0,0.6080611577431667,33,1057.0
