step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.896878762752749,0,0.0,0.8169711419728782,0,0.0
20.0,0,0.0,0.0,14.227054768619658,0,0.0,0.976614842123841,0,0.0
25.0,0,0.0,0.0,14.38295440273878,0,0.0,0.9870141626456279,0,0.0
30.0,0,0.0,0.0,13.463625536202807,0,0.0,0.8909873965796254,0,0.0
35.0,0,0.0,0.0,13.92674683449118,0,0.0,0.9173884954943401,0,0.0
40.0,0,0.0,0.0,14.17088895715131,0,0.0,0.9812560008300878,0,0.0
45.0,0,0.0,0.0,13.83745358279216,0,0.0,0.9557524658918642,0,0.0
50.0,0,0.0,0.0,14.290203398862525,0,0.0,0.9878909137308046,0,0.0
55.0,0,0.0,0.0,13.663334620776457,0,0.0,0.9445796378779601,0,0.0
60.0,0,0.0,0.0,13.571214847555222,0,0.0,0.9484947075638704,0,0.0
65.0,0,0.0,0.0,12.67624022522275,0,0.0,0.8824243290939097,0,0.0
70.0,1,5.0,0.4166666666666667,13.004459132036986,1,5.0,0.8977798468848824,1,5.0
75.0,1,10.0,0.7142857142857143,12.124188263199326,1,10.0,0.8549714443130216,1,10.0
80.0,2,18.0,1.2857142857142858,11.609393085496235,2,18.0,0.821960516798286,2,18.0
85.0,0,0.0,0.0,11.19578768230841,0,26.0,0.78673864336617,0,26.0
90.0,1,3.0,0.1875,11.6233234087578,1,3.0,0.8958144120742335,1,3.0
95.0,0,0.0,0.0,11.875047245909672,0,7.0,0.8691765077045793,0,7.0
100.0,0,0.0,0.0,12.77954254335568,0,0.0,0.9286801478074576,0,0.0
105.0,0,0.0,0.0,12.548402191385712,0,0.0,0.8617771183696301,0,0.0
110.0,2,9.0,0.3103448275862069,12.519398651664662,2,9.0,0.8624346514095663,2,9.0
115.0,3,15.0,0.5172413793103449,11.615171642116726,3,25.0,0.7778618043177329,3,25.0
120.0,3,30.0,1.0,11.671537260033766,3,30.0,0.8406233650570647,3,30.0
125.0,2,25.0,0.7575757575757576,12.087011271406556,2,44.0,0.8475596176473459,2,44.0
130.0,1,17.0,0.5,12.764090559020957,1,17.0,0.9276579925664916,1,17.0
135.0,0,0.0,0.0,12.801403914860401,0,21.0,0.8894170631233325,0,21.0
140.0,2,7.0,0.175,12.591958669359446,2,7.0,0.8852445681621653,2,7.0
145.0,1,8.0,0.1951219512195122,12.57776937497569,1,16.0,0.8696468477122077,1,16.0
150.0,2,17.0,0.3953488372093023,12.10406349481759,2,17.0,0.8398318115619536,2,17.0
155.0,1,18.0,0.4090909090909091,11.420150372080059,1,35.0,0.7686445346078916,1,35.0
160.0,2,27.0,0.5510204081632653,11.580765093879723,2,27.0,0.8909018118083082,2,27.0
165.0,2,37.0,0.6981132075471698,11.98874718351314,2,37.0,0.8639071840281448,2,37.0
170.0,3,51.0,0.9272727272727272,12.493766866486503,3,51.0,0.8778583103483871,3,51.0
175.0,4,61.0,1.0338983050847457,12.01191040760838,4,70.0,0.7976441631742669,4,70.0
180.0,6,85.0,1.3076923076923077,11.418900596003533,6,85.0,0.7714655723960867,6,85.0
185.0,3,82.0,1.2238805970149254,11.573543889868484,3,116.0,0.7714328124579181,3,116.0
190.0,4,92.0,1.295774647887324,11.824449821973053,4,92.0,0.8628420759949001,4,92.0
195.0,5,115.0,1.554054054054054,12.08767894609099,5,115.0,0.8744667893191053,5,115.0
200.0,7,143.0,1.881578947368421,12.04944274911078,7,143.0,0.8436538613587248,7,143.0
205.0,5,133.0,1.7733333333333334,12.027129210375184,5,178.0,0.8375515539186018,5,178.0
210.0,5,151.0,1.9610389610389611,12.059251892700738,5,151.0,0.8770220187917622,5,151.0
215.0,4,139.0,1.7160493827160495,11.617080993219819,4,175.0,0.8172272811406528,4,175.0
220.0,6,167.0,1.9195402298850575,11.313090743742501,6,167.0,0.8081509463833226,6,167.0
225.0,11,207.0,2.3,10.82777020949563,11,216.0,0.7401242349217477,11,216.0
230.0,19,283.0,2.9789473684210526,10.231840012930729,19,283.0,0.6777439305655343,19,283.0
235.0,15,282.0,2.82,10.019676914593541,15,375.0,0.6610964464807009,15,375.0
240.0,7,239.0,2.276190476190476,10.383431638636122,7,263.0,0.7616896423910892,7,263.0
245.0,11,258.0,2.4339622641509435,10.227344996187767,11,305.0,0.7125975685052987,11,305.0
250.0,19,345.0,3.1944444444444446,10.436868739846826,19,369.0,0.7195213214345725,19,369.0
255.0,20,441.0,4.009090909090909,10.607410660792016,20,465.0,0.7003746486131607,20,465.0
260.0,25,556.0,4.793103448275862,10.43651552643268,25,580.0,0.6791121632125415,25,580.0
265.0,21,560.0,4.666666666666667,10.228103042926671,21,704.0,0.6576343722202738,21,704.0
270.0,10,437.0,3.6115702479338845,10.195317858714908,10,540.0,0.7111936609456178,10,540.0
275.0,14,449.0,3.592,10.071602910826346,14,603.0,0.6797184559414614,14,603.0
280.0,22,546.0,4.265625,10.043515413978179,22,651.0,0.6643122591991812,22,651.0
285.0,28,670.0,4.962962962962963,9.587369711769036,28,779.0,0.5906096951032317,28,779.0
290.0,39,843.0,5.936619718309859,9.318629914015947,39,948.0,0.5678212369808923,39,948.0
295.0,36,919.0,6.426573426573427,9.051334285287924,36,1109.0,0.5510651787042625,36,1109.0
