step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.896878762752749,0,0.0,0.8169711419728782,0,0.0
20.0,0,0.0,0.0,14.227054768619658,0,0.0,0.976614842123841,0,0.0
25.0,0,0.0,0.0,14.38295440273878,0,0.0,0.9870141626456279,0,0.0
30.0,0,0.0,0.0,13.463625536202807,0,0.0,0.8909873965796254,0,0.0
35.0,0,0.0,0.0,13.92674683449118,0,0.0,0.9173884954943401,0,0.0
40.0,0,0.0,0.0,14.17088895715131,0,0.0,0.9812560008300878,0,0.0
45.0,0,0.0,0.0,13.83745358279216,0,0.0,0.9557524658918642,0,0.0
50.0,0,0.0,0.0,14.290203398862525,0,0.0,0.9878909137308046,0,0.0
55.0,0,0.0,0.0,13.663334620776457,0,0.0,0.9445796378779601,0,0.0
60.0,0,0.0,0.0,13.571214847555222,0,0.0,0.9484947075638704,0,0.0
65.0,0,0.0,0.0,12.67624022522275,0,0.0,0.8824243290939097,0,0.0
70.0,1,5.0,0.4166666666666667,12.181369047699286,1,5.0,0.8990531300102098,1,5.0
75.0,1,10.0,0.7142857142857143,11.634407101334176,1,10.0,0.8546330372700873,1,10.0
80.0,2,18.0,1.2857142857142858,11.406511060941769,2,18.0,0.8228972325995569,2,18.0
85.0,2,28.0,1.75,11.084611130179303,2,28.0,0.7799346025294788,2,28.0
90.0,2,38.0,2.375,11.109205521913076,2,39.0,0.7808648858247216,2,39.0
95.0,2,48.0,2.4,11.297821333363244,2,48.0,0.8107409255631818,2,48.0
100.0,2,58.0,2.4166666666666665,11.872521392182934,2,58.0,0.8397478129789998,2,58.0
105.0,3,69.0,2.5555555555555554,11.546878066901787,3,69.0,0.7902339529668366,3,69.0
110.0,3,84.0,2.896551724137931,11.554263815932304,3,88.0,0.7951927745776991,3,88.0
115.0,5,105.0,3.6206896551724137,10.578400853295424,5,105.0,0.7569685146805253,5,105.0
120.0,7,134.0,4.466666666666667,10.258151608396592,7,134.0,0.7067800095577766,7,134.0
125.0,7,169.0,4.970588235294118,10.785841050436288,7,169.0,0.7293912614888629,7,169.0
130.0,7,204.0,5.828571428571428,10.766979321238987,7,204.0,0.7363353215123349,7,204.0
135.0,7,239.0,6.45945945945946,10.544032222190982,7,239.0,0.717322865239315,7,239.0
140.0,9,279.0,6.975,10.294180414822893,9,281.0,0.6861185163763414,9,281.0
145.0,9,324.0,7.714285714285714,10.322606849097095,9,324.0,0.6975367855278157,9,324.0
150.0,10,370.0,8.222222222222221,9.654068533336652,10,374.0,0.6686254747144371,10,374.0
155.0,11,424.0,9.422222222222222,9.691983690716999,11,424.0,0.6597583509565089,11,424.0
160.0,12,483.0,9.470588235294118,9.929057196475922,12,483.0,0.6640657499104275,12,483.0
165.0,12,535.0,9.727272727272727,10.110904629139112,12,543.0,0.6705473365405843,12,543.0
170.0,12,595.0,10.43859649122807,10.095426002748214,12,595.0,0.6773734290194384,12,595.0
175.0,14,663.0,10.693548387096774,9.643527271304945,14,664.0,0.6306773948144965,14,664.0
180.0,15,736.0,10.985074626865671,9.887801241801743,15,736.0,0.6627173180129523,15,736.0
185.0,15,811.0,11.585714285714285,10.003924022754735,15,811.0,0.6625143633103443,15,811.0
190.0,18,896.0,11.789473684210526,9.727190132008413,18,896.0,0.6324433540421265,18,896.0
195.0,18,980.0,12.098765432098766,10.031511026683049,18,991.0,0.6729211196507745,18,991.0
200.0,18,1070.0,12.738095238095237,10.106726548775967,18,1070.0,0.6916433251194212,18,1070.0
205.0,20,1164.0,13.857142857142858,10.087056879415469,20,1164.0,0.6802185664083809,20,1164.0
210.0,21,1265.0,15.05952380952381,9.69123958702502,21,1265.0,0.6502014997988506,21,1265.0
215.0,20,756.0,8.590909090909092,9.171452304348895,20,1376.0,0.6150842189193387,20,1376.0
220.0,5,255.0,2.6842105263157894,9.616084006556175,5,497.0,0.7240185468298391,5,497.0
225.0,8,288.0,2.909090909090909,10.054317816087906,8,356.0,0.7448009850929687,8,356.0
230.0,10,333.0,3.201923076923077,10.754730301664694,10,335.0,0.7811454127806096,10,335.0
235.0,11,384.0,3.588785046728972,11.578913134947165,11,384.0,0.7899390915852829,11,384.0
240.0,12,442.0,3.911504424778761,11.911920771795707,12,442.0,0.7891362883637605,12,442.0
245.0,13,503.0,4.336206896551724,11.882485290604988,13,503.0,0.773745318407773,13,503.0
250.0,10,464.0,3.834710743801653,11.68090849718283,10,567.0,0.7466971325692138,10,567.0
255.0,9,480.0,3.902439024390244,11.873538211550539,9,480.0,0.8206492716129437,9,480.0
260.0,12,530.0,4.140625,11.789192846411463,12,530.0,0.799819042232259,12,530.0
265.0,10,558.0,4.259541984732825,11.838596805277037,10,590.0,0.7796981101275475,10,590.0
270.0,10,599.0,4.404411764705882,11.713100046407101,10,599.0,0.7933518236062771,10,599.0
275.0,14,660.0,4.680851063829787,11.633958192081824,14,660.0,0.7778590406507723,14,660.0
280.0,19,737.0,5.340579710144928,11.342972810625602,19,737.0,0.730507862991895,19,737.0
285.0,16,770.0,5.579710144927536,10.769988382178855,16,832.0,0.6679821550284427,16,832.0
290.0,18,824.0,6.0588235294117645,10.453777083907049,18,832.0,0.7145224353943651,18,832.0
