step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
55.0,13,33.0,0.21710526315789475,9.345523752016474,1,15.0,0.6226361775549006,2,11.0,0.5484115446192617,0,4.0,0.8431004309622828,0,0.0,0.7280782196314777,2,9.0,0.6628892175993002,3,4.0,0.18974306996296952,0,4.0,0.9538988292022559,0,4.0,0.48569883607287007,0,0.0,0.7615094208958252,2,10.0,0.6168099232668075,0,4.0,0.829610939591227,0,2.0,0.8199234230391997,1,5.0,0.6603501312804723,0,0.0,0.5996228030984938,2,7.0,0.4359992054872931,0,6.0,0.7085724588166155,13,85.0
60.0,22,82.0,0.5125,9.156498842542883,2,10.0,0.7057523690932541,0,7.0,0.7384651007387696,0,4.0,0.9350883353331266,3,6.0,0.12069944047261635,0,2.0,0.6038104673370315,0,8.0,0.29354282476513777,0,0.0,0.8164517669050324,2,10.0,0.6306569990460855,3,9.0,0.5683407768546977,0,4.0,0.6881381988165443,3,10.0,0.5830795325314202,1,6.0,0.41155188046488894,3,17.0,0.5370641762759538,3,12.0,0.37823110822803513,2,14.0,0.7477499145840446,0,6.0,0.8998986743977313,22,125.0
65.0,14,48.0,0.27586206896551724,9.131136416615048,1,5.0,0.5516309979254662,0,4.0,0.8998569438105224,0,0.0,0.9023373574786678,1,19.0,0.4095599155570614,3,11.0,0.4845275336788172,0,4.0,0.8857052575428583,0,0.0,0.3400667215907968,2,20.0,0.6930409716149688,0,8.0,0.5976818490731581,0,4.0,0.9334209402973654,1,12.0,0.4262236120440522,2,19.0,0.580182272943592,1,10.0,0.605431355674892,2,14.0,0.5465240446674291,1,5.0,0.7382410770155422,0,4.0,0.8887952936438632,14,139.0
70.0,23,95.0,0.521978021978022,9.692426729754889,3,13.0,0.639795380231702,1,2.0,0.7002792263034263,0,0.0,0.8805311732262103,0,6.0,0.8409930059447209,0,8.0,0.8094859848130015,0,4.0,0.9251283855952613,2,8.0,0.3846040462323022,0,4.0,0.6025615102966173,4,11.0,0.5150180302033333,1,3.0,0.7112638950580605,2,17.0,0.7415403350700772,0,8.0,0.8393111368922691,2,15.0,0.738417182937744,2,19.0,0.7627262759847686,4,17.0,0.542017978116262,2,8.0,0.4404122986154387,23,143.0
75.0,25,98.0,0.532608695652174,8.824784135163465,0,9.0,0.574351981170492,3,17.0,0.47439027395558614,0,2.0,0.8242672807521834,1,8.0,0.7456118737533495,2,10.0,0.6782227299380774,0,0.0,0.5069553628983219,3,22.0,0.7103123186877284,5,20.0,0.4353248667864485,2,17.0,0.5917692661872143,2,15.0,0.4747773358922043,0,4.0,0.9056910154925489,0,4.0,0.8731422143073024,2,7.0,0.5171156778214375,1,6.0,0.5970352352998708,2,20.0,0.34782581868284623,2,20.0,0.6076935470608069,25,181.0
80.0,29,104.0,0.5360824742268041,8.219974563860005,2,7.0,0.6572533687442907,0,9.0,0.6700382873714457,0,4.0,0.7992285103579946,3,16.0,0.04339226012516588,3,9.0,0.41225657004596844,2,12.0,0.271826486539547,0,7.0,0.7311690221352982,1,27.0,0.2729199654588446,4,20.0,0.5702092109655994,0,7.0,0.6533705446270271,1,3.0,0.6694445158455239,1,5.0,0.37819925352559963,4,21.0,0.466946921162473,5,20.0,0.18827225134303285,3,24.0,0.6866107896675582,0,8.0,0.8616231657332504,29,199.0
85.0,22,82.0,0.40594059405940597,8.859331769700887,1,2.0,0.6176770089830893,0,2.0,0.8981961810680845,0,2.0,0.6798146098888606,0,14.0,0.2993519240849336,5,31.0,0.42308220528884416,2,20.0,0.7271976340402148,3,8.0,0.3074158765854807,6,30.0,0.4146145724918604,2,20.0,0.43287875487283795,0,4.0,0.8295557118769525,0,6.0,0.49762805087657275,2,16.0,0.6318161295305357,0,18.0,0.6599586327197483,0,23.0,0.6160630985878071,1,16.0,0.7369418398310031,0,4.0,0.9075544348737833,22,216.0
90.0,15,66.0,0.32673267326732675,9.465936492901534,3,11.0,0.6055727107507052,0,0.0,0.6958506989746865,0,2.0,0.49878445921697284,0,5.0,0.8817442097194038,0,25.0,0.6757121270884446,0,8.0,0.8757819334278613,1,11.0,0.17762710850293364,0,28.0,0.6852228106454736,5,25.0,0.41236444126212685,0,2.0,0.7773333195893563,2,13.0,0.7104109568195925,0,8.0,0.8595310160804375,1,9.0,0.7594828216644056,0,8.0,0.9204523151579316,3,15.0,0.5392776516685651,0,4.0,0.5039910987770126,15,174.0
95.0,14,46.0,0.22115384615384615,8.776342192633289,0,6.0,0.5808639109372113,2,11.0,0.6239159704920866,0,6.0,0.5728637709217,0,5.0,0.8982737586226162,1,9.0,0.7479777081774283,2,6.0,0.377250408057909,2,15.0,0.6554734883084807,1,8.0,0.5486561453714152,1,24.0,0.6254191103115468,1,9.0,0.49576151445925415,0,4.0,0.8380187038155494,0,4.0,0.8647171828936504,0,4.0,0.4957078538978833,1,10.0,0.5278155688229453,2,14.0,0.3959892124234035,1,11.0,0.6958512786183826,14,146.0
100.0,30,106.0,0.4796380090497738,8.466255859378574,3,12.0,0.657216572935922,0,5.0,0.7278194105186653,0,2.0,0.7434363963892097,1,7.0,0.3126795561026188,1,6.0,0.47003291063824887,1,14.0,0.18812598824791998,0,7.0,0.8664885112046422,2,12.0,0.12114896913568918,3,13.0,0.6330683776644734,0,5.0,0.7178188649827005,3,6.0,0.621112162376858,0,4.0,0.6179777676816776,5,20.0,0.39517665168321164,7,31.0,0.2634304415859311,4,29.0,0.6162920911919755,0,8.0,0.8472845287495202,30,181.0
